RT=UNDEFINED   LT=UNDEFINED
0	38842
1	38606
2	38678
3	38782
4	38581
5	38826
6	38484
7	38798
8	38483
9	38984
10	38857
11	38643
12	38768
13	38983
14	38632
15	38821
16	38933
17	38739
18	39026
19	38737
20	38383
21	38909
22	38626
23	38560
24	38779
25	38690
26	38967
27	38667
28	38448
29	38636
30	38650
31	38798
32	38348
33	38553
34	38630
35	38841
36	38804
37	38945
38	38748
39	38793
40	38966
41	38451
42	38945
43	38681
44	38842
45	38964
46	38738
47	38725
48	39018
49	38741
50	38843
51	38931
52	38874
53	38824
54	38934
55	38796
56	38751
57	38674
58	38943
59	38560
60	38961
61	38959
62	38932
63	38654
64	38798
65	38744
66	38899
67	38874
68	39172
69	38859
70	39019
71	38659
72	39072
73	39095
74	38633
75	39182
76	38836
77	39030
78	38844
79	39192
80	38690
81	39126
82	39019
83	39055
84	39353
85	38840
86	39181
87	39104
88	38681
89	38835
90	38972
91	38879
92	38817
93	38834
94	38671
95	38691
96	38831
97	39064
98	38730
99	38970
100	38473
101	38632
102	38695
103	38749
104	38889
105	39055
106	38244
107	38754
108	38398
109	38795
110	38534
111	38525
112	38064
113	38395
114	38089
115	38402
116	38028
117	38034
118	37883
119	38336
120	37764
121	37652
122	37051
123	37243
124	37058
125	36851
126	36691
127	35909
128	35948
129	35398
130	35480
131	34950
132	35102
133	35176
134	35114
135	35587
136	35552
137	35865
138	36046
139	35991
140	36342
141	36521
142	36904
143	37325
144	37485
145	37697
146	37683
147	37841
148	37942
149	38096
150	38004
151	38526
152	38088
153	38428
154	38084
155	38648
156	38322
157	38282
158	38582
159	38681
160	38637
161	38367
162	38817
163	38990
164	38292
165	38597
166	38887
167	38633
168	38812
169	38903
170	39155
171	38747
172	39157
173	39385
174	39064
175	38854
176	38926
177	38884
178	39292
179	38928
180	39227
181	39237
182	39102
183	39016
184	38998
185	38905
186	39193
187	39137
188	39172
189	39490
190	38996
191	39146
192	39498
193	39091
194	39152
195	39199
196	39067
197	39188
198	39388
199	39706
200	39542
201	39098
202	39431
203	39246
204	38856
205	39167
206	39473
207	39730
208	39676
209	39235
210	39321
211	39030
212	39207
213	39253
214	39171
215	39373
216	39766
217	39289
218	39037
219	39068
220	39175
221	38956
222	39070
223	39339
224	39736
225	39359
226	39220
227	39219
228	39288
229	39277
230	39239
231	39396
232	39353
233	39246
234	39539
235	39561
236	39297
237	39424
238	39373
239	39344
240	39507
241	39338
242	39246
243	39428
244	39508
245	39044
246	39576
247	39157
248	38938
249	39034
250	39520
251	39529
252	39401
253	39562
254	39201
255	39444
256	39431
257	39174
258	39171
259	39058
260	39012
261	38794
262	39002
263	39173
264	39006
265	38951
266	38779
267	38532
268	38834
269	39046
270	38890
271	38815
272	38811
273	38676
274	38473
275	38588
276	38413
277	38540
278	37900
279	37605
280	37407
281	37445
282	37408
283	36681
284	36869
285	36503
286	36367
287	36336
288	36518
289	36394
290	36687
291	36677
292	36672
293	36910
294	37210
295	37521
296	37683
297	37750
298	37941
299	38176
300	38243
301	38206
302	38489
303	38472
304	38842
305	38772
306	39133
307	38626
308	39378
309	39118
310	38726
311	39242
312	39228
313	38998
314	39155
315	39125
316	39359
317	38808
318	39301
319	39373
320	39130
321	39542
322	39184
323	39322
324	39373
325	39418
326	39447
327	39133
328	39854
329	39849
330	39236
331	39419
332	39460
333	39506
334	39312
335	39703
336	39210
337	39124
338	39665
339	39475
340	39918
341	39628
342	39562
343	39519
344	39189
345	39493
346	39546
347	39643
348	39423
349	39406
350	39745
351	39740
352	39285
353	39340
354	39778
355	39305
356	39484
357	39563
358	39722
359	39601
360	39935
361	39576
362	39452
363	39629
364	39520
365	39424
366	39410
367	39519
368	39472
