RT=UNDEFINED   LT=UNDEFINED
0	107303
1	107224
2	107315
3	107308
4	107347
5	107441
6	107423
7	107395
8	107835
9	108203
10	107493
11	107649
12	108109
13	107734
14	108028
15	107658
16	107209
17	107479
18	107896
19	108307
20	108069
21	107821
22	107401
23	107368
24	108220
25	107774
26	108213
27	107850
28	108389
29	108077
30	108187
31	108519
32	108042
33	108019
34	108080
35	107833
36	108892
37	108039
38	108178
39	108296
40	108523
41	107848
42	108166
43	108132
44	107824
45	108715
46	108025
47	108228
48	108404
49	107910
50	108246
51	108217
52	108306
53	108224
54	108314
55	108766
56	108491
57	108656
58	108043
59	108324
60	108904
61	107734
62	108961
63	108152
64	109024
65	108444
66	108844
67	108993
68	108725
69	109182
70	108178
71	108454
72	108175
73	108682
74	109345
75	108905
76	108216
77	108090
78	108474
79	107905
80	107784
81	107620
82	108288
83	107931
84	108169
85	108173
86	107885
87	107724
88	107983
89	107350
90	107446
91	107016
92	106852
93	106199
94	105338
95	104443
96	104070
97	103321
98	102685
99	101622
100	100564
101	100642
102	101034
103	101361
104	101963
105	103039
106	103360
107	104495
108	105380
109	105479
110	105960
111	106521
112	106855
113	106862
114	107348
115	107627
116	107802
117	108317
118	108214
119	108732
120	109333
121	108499
122	108483
123	108684
124	109015
125	109107
126	109367
127	108839
128	109042
129	108969
130	109392
131	109576
132	109449
133	109369
134	109479
135	108961
136	109662
137	109675
138	109904
139	109691
140	110026
141	109543
142	109972
143	110000
144	109631
145	109880
146	110228
147	109498
148	110525
149	109638
150	109571
151	110569
152	110195
153	109513
154	110208
155	110025
156	109831
157	109363
158	109861
159	110304
160	110146
161	110117
162	110200
163	109888
164	109461
165	110490
166	109975
167	110462
168	110004
169	109990
170	110917
171	109550
172	109850
173	110439
174	110096
175	110193
176	109415
177	110631
178	110422
179	110178
180	110047
181	109744
182	110359
183	110358
184	110443
185	110540
186	110709
187	110635
188	111024
189	110362
190	110763
191	109881
192	110379
193	110878
194	109870
195	110055
196	110374
197	111082
198	110539
199	110562
200	110684
201	110918
202	110613
203	110613
204	110640
205	110659
206	110858
207	110351
208	111388
209	110247
210	110338
211	110443
212	110594
213	111283
214	110580
215	110487
216	110310
217	111326
218	110273
219	110182
220	110248
221	110978
222	109986
223	110732
224	110670
225	110617
226	110464
227	110616
228	110647
229	110317
230	110714
231	110040
232	110663
233	110102
234	110834
235	110748
236	110438
237	109841
238	110404
239	110065
240	110215
241	110176
242	109825
243	108862
244	108937
245	109003
246	108242
247	107675
248	107214
249	106433
250	106116
251	104809
252	105074
253	104260
254	105300
255	105116
256	105702
257	106587
258	106874
259	108078
260	108545
261	109573
262	109439
263	109993
264	109712
265	110045
266	110428
267	110322
268	110733
269	110813
270	110319
271	110016
272	111200
273	111197
274	110892
275	111355
276	110542
277	110657
278	110719
279	111518
280	111579
281	111169
282	111238
283	111863
284	110243
285	111547
286	112116
287	111100
288	111454
289	111509
290	111859
291	111511
292	110860
293	111161
294	111663
295	111025
296	111624
297	111239
298	112204
299	111277
300	112035
301	111294
302	111596
303	111927
304	111353
305	111993
306	112001
307	111956
308	110912
309	111984
310	111655
311	111582
312	111790
313	111559
314	110867
315	112000
316	111917
317	111896
318	111519
319	111113
320	111634
321	111815
322	111642
323	111660
324	111991
325	112037
326	111467
327	112020
328	111644
329	111613
330	112021
331	111836
332	111439
333	111142
334	111460
335	111865
336	112176
337	112153
338	111793
339	111332
340	112079
341	111350
342	112327
343	111923
344	111835
345	111639
346	112693
347	112128
348	112256
349	111741
350	111393
351	111480
352	111720
353	112120
354	111561
355	112427
356	112043
357	111836
358	112354
359	112407
360	111958
361	112091
362	112335
363	112077
364	112503
365	112470
366	112024
367	111723
368	112172
369	112404
370	111834
371	111901
372	111920
373	112201
374	111582
375	112559
376	111789
377	111995
378	112254
379	111903
380	112318
381	111881
382	111560
383	112443
384	112387
385	111629
386	112597
387	112545
388	112521
389	111534
390	111937
391	111967
392	112209
393	111881
394	112099
395	112314
396	112505
397	111935
398	112284
399	111940
400	112335
401	111485
402	112113
403	111320
404	111432
405	111169
406	111857
407	110959
408	111533
409	111023
410	110063
411	110185
412	110100
413	109497
414	108668
415	108914
416	108435
417	109298
418	109261
419	108971
420	109608
421	110398
422	110532
423	111048
424	110504
425	110830
426	110939
427	111353
428	111412
429	111816
430	111662
431	112015
432	112656
433	111863
434	112275
435	111793
436	112221
437	112135
438	112101
439	112876
440	112005
441	112268
442	111946
443	112966
444	112185
445	111978
446	112072
447	112056
448	112296
449	111927
450	112395
451	112118
452	112577
453	112357
454	112445
455	112029
456	111838
457	112279
458	112860
459	112843
460	112798
461	112821
462	112402
463	112904
464	112071
465	112465
466	112558
467	111820
468	111870
469	112305
470	112814
471	112426
472	112610
473	111818
474	113240
475	112005
476	112647
477	113037
478	112604
479	111992
480	111832
481	112603
482	112738
483	112224
484	112382
485	112678
486	112009
487	112472
488	112562
489	112747
490	112473
491	112723
492	112117
493	112195
494	112730
495	112961
496	112243
497	111690
498	112290
499	112189
500	112545
501	112136
502	112660
503	112023
504	112168
505	113111
506	112498
507	112814
508	113069
509	112378
510	112109
511	112494
512	111806
513	112243
514	111765
515	112484
516	112396
517	111414
518	112276
519	112238
520	111924
521	112730
522	112009
523	112636
524	111886
525	111850
526	111971
527	111707
528	111807
529	111652
530	111123
531	111206
532	111428
533	110463
534	110298
535	109572
536	109384
537	108709
538	108531
539	108104
540	108766
541	108964
542	109512
543	109795
544	109642
545	110792
546	111075
547	111640
548	111227
549	111534
550	111454
551	111990
552	111820
553	111936
554	112198
