mV up green,mV down green,A
0.17024,0.17173,0.05
0.18685,0.18866,0.055
0.20353,0.20538,0.06
0.2535,0.25588,0.075
0.30342,0.30613,0.09
0.35349,0.35683,0.105
0.38684,0.39054,0.115
0.43694,0.44103,0.13
0.50338,0.50812,0.15
0.58702,0.59258,0.175
