mV up green,mV down green,A
-9.65954,9.78612,0.055
-10.53882,10.69285,0.06
-11.40776,11.57443,0.065
-12.28612,12.45594,0.07
-13.15532,13.76728,0.075
-14.02765,14.23375,0.08
-14.89818,15.12945,0.085
-15.71022,16.01596,0.09
-16.33283,16.87229,0.095
